Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Time/Total,Time/Epoch,Time/Update,Time/Evaluate,Train/Epoch,TotalSteps,Loss/Loss_actor,Loss/Loss_Nu,Loss/Loss_Chi,Loss/Loss_Lamb,Loss/Loss_Tau,Train/CostUB,Train/KL_divergence,Train/tau,Train/lagrange_multiplier,Train/PolicyStd
-21.088008880615234,23.299999237060547,1000.0,72.09752655029297,72.09752655029297,47.76388931274414,24.333635330200195,1.0,1000.0,24.128061294555664,2.5512442588806152,40.423858642578125,54.903499603271484,-0.5607989430427551,0.17545650899410248,0.47779572010040283,1.4744198322296143,0.5500000715255737,1.002793788909912
-11.491594314575195,15.699999809265137,1000.0,158.28973388671875,86.19220733642578,61.85384750366211,24.338359832763672,2.0,2000.0,2.7773871421813965,0.9643599390983582,0.009458545595407486,55.0,0.07531528174877167,5.552075890591368e-06,0.002004920272156596,1.5694193840026855,0.5500000715255737,0.9629021883010864
-6.673791408538818,27.399999618530273,1000.0,246.54449462890625,88.25476837158203,63.85624313354492,24.398523330688477,3.0,3000.0,6.038456439971924,1.2492218017578125,1.948933720588684,54.992164611816406,0.026223883032798767,0.014256015419960022,0.03178423270583153,1.4850414991378784,0.5500000715255737,0.9844692349433899
-0.03632622957229614,41.099998474121094,1000.0,334.4635314941406,87.91902923583984,63.62448501586914,24.29454231262207,4.0,4000.0,2.722043037414551,0.9488591551780701,0.003498735139146447,55.0,0.05709785595536232,0.0,0.0011940248077735305,1.1704765558242798,0.5500000715255737,0.9829179048538208
-6.881772518157959,27.299999237060547,1000.0,422.7359313964844,88.27241516113281,64.04572296142578,24.226688385009766,5.0,5000.0,2.7041215896606445,0.9517452716827393,0.002709541702643037,55.0,0.030254153534770012,0.0,0.0029759681783616543,0.6296240091323853,0.5500000715255737,0.9634761810302734
-11.842252731323242,29.899999618530273,1000.0,511.3543701171875,88.61843872070312,64.5819320678711,24.036502838134766,6.0,6000.0,2.6844193935394287,0.9550291299819946,0.006046798080205917,55.0,0.0023681565653532743,0.0,0.009549697861075401,0.053357984870672226,0.5500000715255737,0.94347083568573
-1.804111123085022,86.30000305175781,1000.0,600.7282104492188,89.37385559082031,64.73123931884766,24.64261817932129,7.0,7000.0,2.694248676300049,0.9571619629859924,0.0031628054566681385,55.0,4.963263199897483e-05,5.015837700739212e-07,0.01283390074968338,0.0013226764276623726,0.5500000715255737,0.9378675222396851
6.712729454040527,86.80000305175781,1000.0,689.9129638671875,89.18470764160156,64.97899627685547,24.20570945739746,8.0,8000.0,2.712317943572998,0.9590322971343994,0.0034249653108417988,55.0,0.00018968185759149492,6.116590611782158e-07,0.023016680032014847,0.010236890986561775,0.5500000715255737,0.9375628232955933
-4.698757171630859,61.20000076293945,1000.0,780.5099487304688,90.59701538085938,66.21761322021484,24.379396438598633,9.0,9000.0,2.6764824390411377,0.9655993580818176,0.010037141852080822,54.99998092651367,3.452718010521494e-05,3.787162131629884e-05,0.02667071297764778,0.0009146312950178981,0.5500000715255737,0.9300802946090698
12.177515983581543,138.60000610351562,1000.0,871.1384887695312,90.6285629272461,66.08171844482422,24.54684829711914,10.0,10000.0,2.7797622680664062,0.9659777879714966,0.003206561552360654,54.99999237060547,0.0002354141470277682,1.0313920938642696e-05,0.027266858145594597,0.005318963434547186,0.5500000715255737,0.9298956394195557
4.925020694732666,108.0999984741211,1000.0,961.0098876953125,89.87139129638672,65.31085205078125,24.560537338256836,11.0,11000.0,2.674424886703491,0.9548739790916443,0.0006973595009185374,55.0,0.0005174469552002847,1.627611027288367e-06,0.028558917343616486,0.011113075539469719,0.5500000715255737,0.925981342792511
8.496160507202148,98.30000305175781,1000.0,1052.6951904296875,91.68524169921875,67.20150756835938,24.483736038208008,12.0,12000.0,2.669520616531372,0.9581185579299927,0.0014776741154491901,55.0,0.0006034344551153481,4.99874522574828e-06,0.03671799600124359,0.013013713993132114,0.5500000715255737,0.9267317652702332
14.305990219116211,95.0,1000.0,1144.5006103515625,91.80548095703125,67.41493225097656,24.39055061340332,13.0,13000.0,2.7191193103790283,0.9649937152862549,0.006662177387624979,54.9999885559082,0.0004788471560459584,2.5467454179306515e-05,0.03716133162379265,0.010158087126910686,0.5500000715255737,0.9260313510894775
-1.8831144571304321,24.899999618530273,1000.0,1236.4613037109375,91.96070098876953,67.6058349609375,24.35486602783203,14.0,14000.0,2.6760928630828857,0.9544433951377869,0.00018254961469210684,55.0,0.0005042064585722983,0.0,0.03094768524169922,0.010784553363919258,0.5500000715255737,0.9220501184463501
8.594961166381836,71.0999984741211,1000.0,1328.92919921875,92.46786499023438,67.82295989990234,24.6449031829834,15.0,15000.0,2.705112934112549,0.9600400924682617,0.0395982526242733,54.99991226196289,0.0004025982634630054,0.00015402196731884032,0.03155134618282318,0.008663136512041092,0.5500000715255737,0.920122504234314
13.549107551574707,90.69999694824219,1000.0,1422.1353759765625,93.20613098144531,68.76780700683594,24.438318252563477,16.0,16000.0,2.652029275894165,0.9571582078933716,0.00014677389117423445,55.0,0.0004954090109094977,3.3487709641613504e-36,0.04087066650390625,0.0105817299336195,0.5500000715255737,0.9188330173492432
16.277301788330078,70.80000305175781,1000.0,1506.3756103515625,84.24032592773438,60.183109283447266,24.057218551635742,17.0,17000.0,2.6530354022979736,0.9579672813415527,0.00033298658672720194,55.0,0.000520778470672667,6.284151368163293e-07,0.03151150420308113,0.011090349406003952,0.5500000715255737,0.9190183877944946
